Linux 2.6.32-431.el6.i686 (bogon) 	06/11/2019 	_i686_	(24 CPU)

12:00:01 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
03:30:01 PM  Auto_em1    157.56    142.05    136.11     52.83      0.00      0.00      0.18
03:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:40:01 PM        lo     10.18     10.18      2.71      2.71      0.00      0.00      0.00
03:40:01 PM  Auto_em1     17.63     29.94      1.73     39.25      0.00      0.00      0.06
03:40:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
03:50:01 PM        lo      2.97      2.97      0.67      0.67      0.00      0.00      0.00
03:50:01 PM  Auto_em1      1.94      1.33      0.24      0.46      0.00      0.00      0.07
03:50:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:00:01 PM        lo      4.57      4.57      1.45      1.45      0.00      0.00      0.00
04:00:01 PM  Auto_em1      1.77      1.68      0.26      1.29      0.00      0.00      0.17
04:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:10:01 PM        lo      0.72      0.72      0.06      0.06      0.00      0.00      0.00
04:10:01 PM  Auto_em1      0.82      0.36      0.08      0.05      0.00      0.00      0.06
04:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:20:01 PM        lo      2.04      2.04      0.40      0.40      0.00      0.00      0.00
04:20:01 PM  Auto_em1      2.16      3.69      0.34      4.50      0.00      0.00      0.07
04:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:30:01 PM        lo      0.81      0.81      0.14      0.14      0.00      0.00      0.00
04:30:01 PM  Auto_em1      1.12      0.49      0.11      0.17      0.00      0.00      0.19
04:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:01 PM        lo      0.24      0.24      0.04      0.04      0.00      0.00      0.00
04:40:01 PM  Auto_em1      1.23      0.76      0.14      0.32      0.00      0.00      0.06
04:40:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:50:01 PM        lo      0.36      0.36      0.03      0.03      0.00      0.00      0.00
04:50:01 PM  Auto_em1      1.28      1.01      0.12      0.39      0.00      0.00      0.07
04:50:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:00:01 PM        lo      6.37      6.37      1.99      1.99      0.00      0.00      0.00
05:00:01 PM  Auto_em1      4.49      5.08      0.59      4.01      0.00      0.00      0.10
05:00:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:10:01 PM        lo      3.52      3.52      0.62      0.62      0.00      0.00      0.00
05:10:01 PM  Auto_em1      3.01      2.95      0.36      2.57      0.00      0.00      0.16
05:10:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:20:01 PM        lo      5.53      5.53      1.79      1.79      0.00      0.00      0.00
05:20:01 PM  Auto_em1      2.37      2.06      0.31      0.84      0.00      0.00      0.07
05:20:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:30:01 PM        lo     11.34     11.34      3.70      3.70      0.00      0.00      0.00
05:30:01 PM  Auto_em1      6.73     12.82      1.16     16.19      0.00      0.00      0.06
05:30:01 PM  Auto_em2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
